Topic Category,Disclosure Title,Disclosure Description,Sector,Subsector
Customer Welfare,Public Health,"Tobacco use can create serious health risks as established by many scientific studies over the past several decades. Health problems associated with tobacco include lung disease, cancer and heart disease. Tobacco product manufacturers have faced
lawsuits from individuals, governments, corporations and other groups. In some cases, these lawsuits resulted in significant settlements. A growing public awareness of the associated health risks has driven down tobacco use dramatically in many countries. Tobacco product manufacturers are introducing an array of ‘harm reduction’ products, such as non-tobacco nicotine products and heated tobacco products, seeking to minimise the health impacts of tobacco use while accessing new markets. Scientific studies questioning these assertions of harm reduction may emerge, with continuing effects on entity revenue and growth potential.
More",Food & Beverage,Tobacco
Selling Practices & Product Labeling,Marketing Practices,"Tobacco product labelling and marketing is regulated heavily internationally. The World Health Organization’s Framework Convention on Tobacco Control (WHO FCTC) has encouraged many countries to introduce new, stricter regulatory approaches to prevent
people from using tobacco at an early age through transparent advertising about tobacco’s health risks. The industry has faced costly legal battles related to the marketing and advertising of its products. Marketing for combustible and new non-combustible products must balance regulatory requirements with the need to reach new markets. Failing to effectively manage negative social externalities may result in further unfavourable regulation and may impair the industry’s social licence to operate. Entities that effectively manage this issue may avoid extraordinary expenses, preserve market share and decrease contingent liabilities.
More",Food & Beverage,Tobacco
Human Rights & Community Relations,Safety of Clinical Trial Participants,"Clinical trials are an essential part of the biotechnology and pharmaceutical products approval process. Clinical trial participant safety is a critical component of an entity’s ability to bring a product to market successfully. Oversight of these
trials is an important factor in the industry because of the numerous clinical trials conducted by third-party contract research organisations. Biotechnology & Pharmaceuticals entities that manage clinical trials effectively may enhance shareholder value through the incremental revenue associated with new products.
More",Health Care,Biotechnology & Pharmaceuticals
Access & Affordability,Access to Medicines,"Biotechnology and pharmaceuticals entities play an important role in providing access to the industry’s products around the world. Entities may develop product pricing frameworks that account for varying levels of economic development and different
health care needs across various countries. Strategies related to improving access to medicines may yield growth opportunities, innovation and unique partnerships, which may enhance shareholder value.
More",Health Care,Biotechnology & Pharmaceuticals
Access & Affordability,Affordability & Pricing,"Stakeholder emphasis on health care cost containment and increased access may continue to place downward pricing pressures on the Biotechnology & Pharmaceuticals industry. As a result, entities that have relied on raising drug prices, contractual
advantages and reverse payments to protect profits may be challenged by efforts to reduce costs. Entities that effectively manage their global pricing practices and associated stakeholder scrutiny of pricing practices may limit their risk exposure to regulatory action or adverse reputational effects.
More",Health Care,Biotechnology & Pharmaceuticals
Product Quality & Safety,Drug Safety,"Important product safety information may be discovered after controlled clinical trials and regulatory approval. Subsequently, entities may be exposed to the financial implications of associate adverse events and product recalls. Product safety
concerns, manufacturing defects or inadequate disclosure of product-related risks may result in significant product liability claims. Biotechnology & Pharmaceuticals entities that mitigate the incidence of product recalls, safety concerns and enforcement actions may better preserve shareholder value. In addition, concern over the abuse or resale of certain medications has resulted in the development of mandated take-back programmes. Entities that successfully engage in these programmes may limit future liabilities.
More",Health Care,Biotechnology & Pharmaceuticals
Customer Welfare,Counterfeit Drugs,"Fake or substandard medication presents a significant risk to consumers in all countries. Biotechnology & Pharmaceuticals entities may face added costs as jurisdictions implement drug supply chain regulations to prevent counterfeit, substandard or
mislabelled drugs from entering the pharmaceutical distribution system. Entities that fail to manage this issue effectively may face material risks associated with the loss of public confidence and reduced revenue.
More",Health Care,Biotechnology & Pharmaceuticals
Selling Practices & Product Labeling,Ethical Marketing,"Biotechnology & Pharmaceuticals entities face challenges associated with the marketing of specific products. Direct-to-consumer advertisements for prescription drugs provide opportunities for increasing market share. However, marketing off-label uses
may result in significant fines and settlements. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern marketing activities may allow investors to better understand performance in this area.
More",Health Care,Biotechnology & Pharmaceuticals
"Employee Engagement, Diversity & Inclusion","Employee Recruitment, Development & Retention","Biotechnology & Pharmaceuticals entities face intense competition for recruiting and retaining employees. The industry relies on highly skilled employees to develop new products, conduct clinical trials, manage government regulations and
commercialise new products. Entities that attract and retain employees despite a constrained talent pool may be better positioned to protect and enhance shareholder value.
More",Health Care,Biotechnology & Pharmaceuticals
Supply Chain Management,Supply Chain Management,"For the Biotechnology & Pharmaceuticals industry, managing supply chain quality is essential for protecting consumer health and corporate value. Biotechnology and pharmaceuticals entities that fail to ensure quality throughout their supply chains may
be susceptible to lost revenue, supply disruptions and reputational damage. Disclosure of supply chain audit programmes may provide investors with an understanding of how entities in this industry are protecting shareholder value.
More",Health Care,Biotechnology & Pharmaceuticals
Business Ethics,Business Ethics,"Biotechnology & Pharmaceuticals entities are subject to various jurisdictional laws and regulations pertaining to bribery, corruption and health care fraud and abuse. The ability of entities to ensure compliance throughout their global and domestic
operational footprint may have material implications. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern their interactions with health care professionals may allow investors to monitor performance in this area.
More",Health Care,Biotechnology & Pharmaceuticals
Energy Management,Energy Management in Retail,"Chain drug retailers operate thousands of locations that consume large quantities of energy. Electricity is used primarily for lighting and refrigeration. Many retail locations may operate 24 hours a day, thereby increasing energy demand. Operational
energy efficiency and diversification among a range of energy supply sources may mitigate exposure to rising energy costs and limit an entity’s indirect greenhouse gas emissions.
More",Health Care,Drug Retailers
Data Security,Data Security & Privacy,"Drug Retailers, as distributors of prescription medication and operators of retail health clinics, access and manage protected health information. The legal obligation to safeguard customer information includes the proper handling of sensitive
information by staff in pharmacies and clinics, as well as the safe storage of information on physical and electronic media. Cyber attacks may compromise health information stored electronically, along with customers’ financial and personal data. Drug retailers that prevent major data breaches, including point-of-sales breaches and cyber attacks, can preserve brand value, reduce contingent liabilities and maintain market share.
More",Health Care,Drug Retailers
Product Quality & Safety,Drug Supply Chain Integrity,"The Drug Retailers industry supply chain is long and complex, consisting of distribution networks between manufacturers and retailers. Ensuring the quality and safety of pharmaceutical and healthcare products is critical to preserving brand
value. The industry faces risks associated with counterfeit drugs, and effective supply chain management is essential in mitigating these challenges. Drug Retailers that effectively manage their supply chains may avoid costs related to recalls, and such incidents may present significant risks to customers. The prevalence of store-brand products, which constitute a growing portion of sales, increases the importance of this issue.
More",Health Care,Drug Retailers
Customer Welfare,Management of Controlled Substances,"Drug Retailers are distributors and sellers of a wide variety of controlled substances. Within this industry, the high volume of drugs processed and dispensed, along with the extensive retail and distribution networks of larger entities, increase the
risk of theft, loss and illegal drug dispensing. These actions may result in adverse social externalities, including public health consequences related to drug abuse and the illicit drug trade. Drug Retailers may participate in jurisdictional drug monitoring programmes to mitigate some of the social issues associated with dispensing controlled substances. Furthermore, regulatory enforcement may result in fines and licence suspensions. Strong internal management of controlled substances may mitigate these risks and protect shareholder value in the long term.
More",Health Care,Drug Retailers
Customer Welfare,Patient Health Outcomes,"Drug Retailers and pharmacists play an important role in the health care system, since they provide patients with medications and are often the last health care professionals to interact with patients before medications are consumed. Drug Retailers
may enhance patient outcomes by improving communication, avoiding dispensing errors and raising patients’ drug-adherence rates. Pharmacies may engage and educate patients regarding the importance of adhering to prescriptions, which provides beneficial outcomes for patients as well as for businesses. Entities that effectively manage these interactions while avoiding dispensing errors may better protect shareholder value.
More",Health Care,Drug Retailers
Energy Management,Energy Management,"Health Care Delivery entities operate energy-intensive facilities and rely on both purchased electricity and fuel. The consumption of both can contribute to environmental impacts, including climate change and pollution. Legislative attempts to limit
these impacts and to incentivise energy efficiency and renewable energy may result in price volatility associated with fossil fuels and conventional electricity. Entities that improve energy efficiency may decrease costs and limit exposure to energy price fluctuations.
More",Health Care,Health Care Delivery
Waste & Hazardous Materials Management,Waste Management,"Health Care Delivery entities generate a significant amount of regulated medical and pharmaceutical waste. Disposal fees for these types of waste are typically higher than that of conventional waste and may present a significant cost for the
industry. Entities that reduce the amount of waste generated by enhanced waste segregation strategies, recycling and reuse may limit their exposure to these costs.
More",Health Care,Health Care Delivery
Data Security,Patient Privacy & Electronic Health Records,"Many jurisdictions require health care providers to establish administrative, physical and technical safeguards to protect the integrity, confidentiality, interoperability and availability of patient health information. Failure to comply with such
regulations may result in civil and criminal penalties.
More",Health Care,Health Care Delivery
Access & Affordability,Access for Low-Income Patients,"Some care delivery entities will continue to face challenges associated with serving uninsured and low-income patients. Health care delivery entities that develop innovative pricing structures that allow them to profit from increased private
insurance enrolment and to expand their patient base may create a positive effect on revenue. Disclosure on how entities manage the provision of care to uninsured populations may allow users to understand the associated risks and opportunities.
More",Health Care,Health Care Delivery
Product Quality & Safety,Quality of Care & Patient Satisfaction,"Quality care delivery and patient satisfaction are essential value drivers for health care delivery entities. The link between quality of care performance and value creation may be strengthened by effective management focus on improving health care
quality measures. In addition, entities may improve health care outcomes and preserve brand value by developing programmes to reduce excessive patient readmission rates and hospital-acquired conditions.
More",Health Care,Health Care Delivery
Customer Welfare,Management of Controlled Substances,"The Health Care Delivery industry is in a unique position with respect to the evolving use of controlled substances and managing the risk of addiction. As the provider of care, the industry also treats individuals suffering from addiction and related
health concerns. Health Care Delivery entities face significant costs in addressing the health care needs of those suffering from addiction and related illnesses. Industry-wide efforts to re-evaluate controlled substance management strategies through the development of new policies, training and oversight may have positive financial effects.
More",Health Care,Health Care Delivery
Selling Practices & Product Labeling,Pricing & Billing Transparency,"Concern regarding pricing and billing transparency in the Health Care Delivery industry has resulted in increased legal and regulatory scrutiny in some jurisdictions. Coupled with increased attention to health care cost containment, this scrutiny may
increase regulatory oversight of pricing and billing practices in this industry. Entities that achieve compliance and institute transparent pricing structures may better protect shareholder value.
More",Health Care,Health Care Delivery
Employee Health & Safety,Workforce Health & Safety,"The Health Care Delivery industry is heavily dependent on a skilled workforce, and employees routinely are exposed to injury, illness and infection during regular duties. Relative to other industries, Health Care Delivery has one of the highest rates
of injury and illness. Entities that manage this issue more effectively may reduce costs associated with workers’ compensation, productivity, morale and employee retention. Entities often mitigate risks by implementing proactive health and safety management protocols, developing employee training requirements, and conducting regular audits of their own safety practices.
More",Health Care,Health Care Delivery
"Employee Engagement, Diversity & Inclusion","Employee Recruitment, Development & Retention","Health care delivery entities will continue to face increased competition for physicians because of increased demand, which is intensified by current and future shortages. The ability to recruit, develop and retain health care practitioners is
critical to success in this industry, and disclosure on related performance indicators allows users to understand how entities are managing this important human capital issue.
More",Health Care,Health Care Delivery
Physical Impacts of Climate Change,Climate Change Impacts on Human Health & Infrastructure,"An increase in extreme weather events associated with climate change may present physical threats to health care delivery facilities and create challenges in serving affected populations. Coupled with the potential spread of infectious diseases and
food and water scarcity, these events may present material implications for the Health Care Delivery industry.
More",Health Care,Health Care Delivery
Business Ethics,Fraud & Unnecessary Procedures,"Health care delivery entities may be subject to significant fines and penalties if their staff are found to be engaged in medical fraud. Many entities must have written policies for all employees and contractors regarding false claims, false
statements and whistle-blower protections. The ability to ensure compliance in this area may have implications for health care delivery entities, including one-time charges and reputational damage.
More",Health Care,Health Care Delivery
GHG Emissions,Fleet Fuel Management,"The distribution of health care products and supplies requires significant transportation networks. Concern over climate change and dwindling natural resources may affect fuel pricing, and it may expose health care distributors to cost
fluctuations. Entities that improve transportation efficiencies may be better positioned to create value over the long-term.
More",Health Care,Health Care Distributors
Product Quality & Safety,Product Safety,"Health Care Distributors are integral to the delivery of consumer health care products. The industry has a shared responsibility with manufacturers to ensure product safety and answer concerns related to toxicity. Further, Health Care Distributors
face additional risks related to controlled substances and mislabelled products. Entities that improve safety or effectively manage other product concerns may better protect shareholder value.
More",Health Care,Health Care Distributors
Customer Welfare,Counterfeit Drugs,"The World Health Organization (WHO) estimates that counterfeit drugs represent more than 10% of the pharmaceutical supply chain in low- and middle-income countries. The issue of counterfeit or substandard medication also presents a significant risk
in developed economies. Health Care Distributors may face added costs as applicable jurisdictional legal or regulatory authorities implement drug supply chain regulations to prevent counterfeit or mislabelled drugs from entering the pharmaceutical distribution system.
More",Health Care,Health Care Distributors
Product Design & Lifecycle Management,Product Lifecycle Management,"Health Care Distributors have a responsibility to reduce the environmental impact of the products that they distribute. Specific opportunities to address these impacts exist in product packaging and take-back programmes. Entities that manage these
concerns properly may meet customer demand and reduce associated costs more effectively.
More",Health Care,Health Care Distributors
Business Ethics,Business Ethics,"Health Care Distributors are subject to various jurisdictional laws and regulations regarding false marketing claims, bribery, corruption and other unethical business practices. Entities that ensure compliance with relevant regulations may avoid
litigation, which could result in costly fines or settlements.
More",Health Care,Health Care Distributors
Data Security,Customer Privacy & Technology Standards,"Applicable jurisdictional laws or regulations may establish various data security requirements relating to the use, disclosure, storage and transmission of patient health information. Entities are required to develop policies and technical safeguards
to protect patient health information. A failure to comply with these standards can lead to significant civil and criminal penalties. These risks are intensified by an increase in cyberattacks that target managed care entities.
More",Health Care,Managed Care
Access & Affordability,Access to Coverage,"Entities in the Managed Care industry may improve a population’s access to health care by limiting plan costs and rate increases for health insurance in jurisdictions where private health insurance is prevalent. These improvements most significantly
affect segments of the population that tend to have lower rates of insurance coverage. These entities generally must also comply with regulations intended to control plan costs, including medical loss ratios, as well as ensuring all applicants have access to coverage regardless of health status, gender or pre-existing conditions. Increased regulatory focus on health care costs and compliance with evolving regulations continue to present challenges for the industry.
More",Health Care,Managed Care
Product Quality & Safety,Plan Performance,"Managed care entities manage performance in areas such as responsiveness, complaints, voluntary disenrollment and customer service to maintain competitiveness. In some jurisdictions, performance on important metrics may be factored into reimbursement
rates and bonus payments. Disclosure on specific indicators related to plan performance may allow investors to understand how entities protect enterprise value.
More",Health Care,Managed Care
Customer Welfare,Improved Outcomes,"Entities in the Managed Care industry can play a critical role in maintaining and improving the health of enrolees. Improved enrolee health can help entities develop a reputation for high-quality care, potentially leading to increased market share
and improved margins. Some entities may participate in programmes that try to strengthen the relationship between enrolee health and entity value by linking employee performance to reimbursement rates and bonuses. Entities that take part in such programmes may develop a competitive advantage compared to those that do not. Entities that fail to deliver high-quality outcomes for enrolees may experience decreased market share, penalties such as fines and suspensions, and increased legal costs.
More",Health Care,Managed Care
Physical Impacts of Climate Change,Climate Change Impacts on Human Health,"An increase in extreme weather events associated with climate change could have significant health impacts. These events, coupled with the potential spread of infectious diseases and food and water scarcity, may present material implications for the
Managed Care industry through an increase in encounters with the health care system. Entities that manage the risks posed by extreme weather events and potential changes in the incidence, morbidity and mortality of illnesses and diseases may protect shareholder value better.
More",Health Care,Managed Care
Access & Affordability,Affordability & Pricing,"Health care cost containment and health care access regulatory initiatives may place downward pricing pressures on the Medical Equipment & Supplies industry. This pressure may be increased further by consolidation among health care providers and the
role of government-sponsored insurance programmes. Entities that ensure fair pricing may limit the negative effects of cost containment as well as benefitting from the potential revenue opportunities associated with expanded access. Entities that successfully balance the risks and opportunities associated with cost containment and improved access to health care may increase their market share among segments of the population that might ordinarily be less likely to seek health care.
More",Health Care,Medical Equipment & Supplies
Product Quality & Safety,Product Safety,"Information on product safety and side effects may be discovered after controlled clinical trials and approval. In such cases, entities are exposed to the financial implications of recalls and other adverse events, such as unfavourable media
coverage, fines or investigations. Issues related to product safety, such as equipment failures, manufacturing defects, design flaws or inadequate disclosure of product-related risks, may result in significant product liability claims. Entities that limit the incidence of recalls, safety concerns and enforcement actions for manufacturing concerns may better protect shareholder value.
More",Health Care,Medical Equipment & Supplies
Selling Practices & Product Labeling,Ethical Marketing,"Entities in the Medical Equipment & Supplies industry face legal and regulatory challenges associated with product marketing. Direct-to-consumer advertisements for medical devices and outreach to physicians provide opportunities for entities to
increase their market share. However, challenges arise from the potential for marketing off-label uses, which may result in significant fines and settlements. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern marketing activities may allow investors to develop a better understanding of performance in this area.
More",Health Care,Medical Equipment & Supplies
Product Design & Lifecycle Management,Product Design & Lifecycle Management,"Medical equipment and supplies entities face increasing challenges associated with the human and environmental impact of the industry’s products. Entities may face consumer and regulatory pressure to limit the use of material inputs associated with
health concerns, while also addressing issues such as the energy efficiency and end-of-life disposal of specific products. Entities that address these concerns while engaging in efforts to enhance product take-back may satisfy consumer demand and reduce future liabilities better.
More",Health Care,Medical Equipment & Supplies
Supply Chain Management,Supply Chain Management,"Supply chain quality is essential to protecting consumer health and corporate value. Entities that fail to ensure quality and traceability throughout their supply chains may be susceptible to fines, lost revenue and reputational
damage. Additionally, entities may need to manage the use of material inputs that are considered scarce. Disclosure of supply chain audit programmes, strategies to ensure traceability and management of critical materials may better inform investors how entities in this industry are protecting shareholder value.
More",Health Care,Medical Equipment & Supplies
Business Ethics,Business Ethics,"Entities in the Medical Equipment & Supplies industry are subject to various international, national and local laws pertaining to health care fraud and abuse. An entity’s ability to ensure compliance throughout its global and domestic operational
footprint may have notable effects on enterprise viability and reputation. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may better allow investors to monitor performance in this area.
More",Health Care,Medical Equipment & Supplies
GHG Emissions,Greenhouse Gas Emissions & Energy Resource Planning,"Electricity generation represents the largest source of greenhouse gas (GHG) emissions in the world. Mainly carbon dioxide, methane and nitrous oxide, these emissions are mostly by-products of fossil fuel combustion. The transmission or distribution
(T&D) segments of the industry produce negligible emissions. Electric utility entities could face significant operating costs and capital expenditures for mitigating GHG emissions as environmental regulations become increasingly stringent. Although many of these costs may be passed to a utility’s customers, some power generators, especially in deregulated markets, may be unable to recoup these costs. Entities may reduce GHG emissions from electricity generation through careful infrastructure investment planning by ensuring the delivery of an energy mix capable of meeting the emissions requirements set forth by regulations, and by implementing industry-leading technologies and processes. Being proactive in cost-effectively reducing GHG emissions may create a competitive advantage for entities and mitigate unanticipated regulatory compliance costs. Failure to properly estimate capital-expenditure needs and permitting costs, or other difficulties in reducing GHG emissions, may result in significant negative effects on returns in the form of asset write-downs, the costs to obtain carbon credits, or unexpected increases in operating and capital expenditures. Regulatory emphasis on this issue may increase in the coming decades, as exemplified by the international emissions-reduction agreement made at the 21st session of the United Nations Conference of the Parties in 2015.
More",Infrastructure,Electric Utilities & Power Generators
Air Quality,Air Quality,"Fuel combustion in electricity-generation operations generates hazardous air pollutants. These air pollutants can create significant and localised environmental and health risks. The most common and impactful are nitrogen oxides (excluding nitrous
oxide), sulphur oxide, particulate matter (PM), lead and mercury. Emissions of these localised air pollutants often are strictly regulated, creating significant compliance risks for electricity generators. Regulatory and legal risks are higher for entities operating near large communities. Harmful operational air emissions may result in regulatory penalties, higher regulatory compliance costs and capital expenditures to install control technology. In some cases, such expenditures may be cost prohibitive to continued facility operations. Entities may manage air quality concerns by reducing emissions, as well as by working with regulators to establish priorities and manage short- and long-term capital planning risks.
More",Infrastructure,Electric Utilities & Power Generators
Water & Wastewater Management,Water Management,"Electricity generation is one of the most water-intensive industries in the world in terms of water withdrawals. Thermoelectric power plants—typically coal, nuclear and natural gas—use large quantities of water for cooling purposes. The industry is
facing increasing water-related supply and regulatory risks, potentially requiring capital investment in technology or even creating stranded assets. As water supplies tighten in many regions—and electricity generation, agriculture and community use compete for water supplies—power plants increasingly may be unable to operate at full capacity, or at all, because of region-specific water constraints. The availability of water is an important factor to consider when calculating the future value of many electricity-generating assets and for evaluating proposals for new generation sources. Increased water scarcity—because of factors such as increasing consumption and reduced supplies resulting from climate change, which could result in more frequent or intense droughts—could prompt regulatory authorities to limit entities’ ability to withdraw necessary amounts of water, especially in regions with high baseline water stress. Furthermore, entities must manage the growing number of regulations related to the significant biodiversity impacts that such large withdrawals may cause. To mitigate these risks, entities can invest both in more efficient water-usage systems for plants, and place strategic priority on assessing long-term water availability, as well as water-related biodiversity risks, when siting new power plants.
More",Infrastructure,Electric Utilities & Power Generators
Waste & Hazardous Materials Management,Coal Ash Management,"Electricity generators must safely discard the hazardous by-products of their operations. Coal-fired electricity generation is a major source of hazardous waste because of coal ash. Coal ash can have a significant effect on entity value in the
power-generation segment of the industry. This issue will affect entities differently, depending on the extent to which they generate electricity from coal. Coal ash is one of the largest industrial waste streams in the world. It contains heavy metal contaminants associated with cancer and other serious diseases, especially when they leach into groundwater. Coal ash can have beneficial uses when recycled or reused, such as in the creation of fly ash concrete or wallboard, creating revenue opportunities for electric utilities. Safe handling of coal ash, locating coal ash impoundments to minimise potential harm to human life or the environment, effective monitoring and containment of coal ash, and the sale of coal ash for beneficial uses are important strategies to reduce regulatory compliance costs as well as penalties for non-compliance. Coal ash leaching into the surrounding environment can result in significant litigation and remediation costs.
More",Infrastructure,Electric Utilities & Power Generators
Access & Affordability,Energy Affordability,"An objective of regulated electric utilities is to provide reliable, affordable and sustainable electricity. Entities in the industry manage these potentially competing priorities to maintain favourable relations with customers and regulators—and
ultimately to earn appropriate returns for shareholders. The affordability of energy is particularly challenging for entities to balance because it often conflicts with other core objectives. Utility energy bills generally are perceived to be increasingly unaffordable for low-income customers (affordability is determined by both the net cost of energy bills and the underlying customer economics). Ensuring that utility bills are affordable is crucial for utilities working to build trust (intangible asset value) with regulators and customers. Regulatory relations are an important value driver for utilities and one of the issues analysed closely by investment analysts. The willingness of regulators to grant rate requests, rate structure modifications, cost recovery and allowed returns determines financial performance and investment risk. Effectively managing affordability may enable utilities to invest more capital, favourably revise rate structures and increase allowed returns. Furthermore, utilities that ineffectively manage affordability increasingly are exposed to customers defecting from the grid (or reducing reliance on the grid) by implementing distributed energy resources or pursuing other alternative energy sources (for example, industrial customers’ use of combined heat and power). Managing affordability involves operating an efficient business with a comprehensive, long-term strategy, as well as working closely with regulators and public policymakers on rate structures and, potentially, bill-assistance programmes. Although a utility’s business model and rate structure largely determine the precise nature of the financial effects, affordability is a critical business issue for utilities managing, maintaining and growing customer bases, building intangible asset value, creating investment and return opportunities, and ultimately delivering shareholder returns.
More",Infrastructure,Electric Utilities & Power Generators
Employee Health & Safety,Workforce Health & Safety,"Employees of entities in the Electric Utilities & Power Generators industry face numerous hazards in the construction and maintenance of electric transmission and distribution lines, as well as with the various means of electricity generation. Many
of these employees work for extended periods at great heights, operate heavy machinery and face electrocution risks. Although the industry has made significant strides in safety improvements, significant risks remain, along with opportunities for further improvements. The nature of the industry—as a necessity of modern life and economies, as well as commonly a legally granted monopoly—means that entity actions receive significant public and regulatory scrutiny. Entities must maintain a culture of safety to ensure adequate working conditions for their workers, strong operational productivity, and to uphold positive views from the perspective of regulators and manage potential risks of regulatory penalties.
More",Infrastructure,Electric Utilities & Power Generators
Business Model Resilience,End-Use Efficiency & Demand,"Energy efficiency is a low-lifecycle-cost method to reduce greenhouse gas (GHG) emissions, because less electricity needs to be generated to provide the same end-use energy services. Utilities can promote energy efficiency and conservation among
their customers. Such strategies may include offering rebates for energy-efficient appliances, weatherising customers’ homes, educating customers on energy-saving methods, offering incentives to customers to curb electricity use during times of peak demand (‘demand response’), or investing in technology such as smart meters, which allow customers to track their energy use. While saving consumers money, these efforts also may reduce operating costs for electric utilities by decreasing peak demand. Furthermore, depending on the utility regulatory framework, local jurisdictions may mandate that entities develop energy efficiency plans before permitting new builds. Companies with effective strategies to reduce the downside risks from demand fluctuations, may gain adequate and timely returns on needed investments. Furthermore, reducing costs through efficiency initiatives may earn higher, long-term risk-adjusted returns.
More",Infrastructure,Electric Utilities & Power Generators
Critical Incident Risk Management,Nuclear Safety & Emergency Management,"Although rare, nuclear accidents can have significant human health and environmental consequences because of their severity. Owners of nuclear power plants in many regions have operated for decades without any major public safety incidents, but the
occurrence of infrequent but large-magnitude incidents anywhere in the world can have major effects on the entire nuclear power industry. Entities that own and operate nuclear plants may lose their licence to operate, as well as face many other financial consequences in the event of an accident—though entities carry insurance and may have legal protections from some liabilities. Failure to comply with the safety regulations can be expensive to nuclear power operators; in extreme circumstances it may make the continued operation of the plant uneconomical. Facing potentially significant financial repercussions, both from ongoing safety compliance as well as tail risk incidents, entities that own or operate nuclear plants must be vigilant in the safety compliance, best practices and upgrades of their facilities. They also must maintain robust emergency preparedness training for their staff and a strong safety culture. These measures can reduce the probability that accidents will occur and enable an entity to effectively detect and respond to such incidents.
More",Infrastructure,Electric Utilities & Power Generators
Systemic Risk Management,Grid Resiliency,"Electricity is critical for the continued function of most elements of modern life, from medicine to finance, creating a societal reliance on continuous service. Major disruptions to electricity infrastructure may result in potentially high societal
costs. Disruptions can be caused by extreme weather events, natural disasters and cyberattacks. As the frequency and severity of extreme weather events associated with climate change continues to increase, all segments of electric utilities entities—and especially major transmission and distribution (T&D) operations—will face increasing physical threats to their infrastructure. Extreme weather events could result in frequent or significant service disruptions, outages and require upgrade or repair of damaged or compromised equipment, all of which may add substantial costs and damage brand reputation among regulators and customers. The increased use of smart grid technology has several benefits, including strengthening the resiliency of the grid to extreme weather events. However, this technology may make the grid more vulnerable to cyberattacks, because it provides hackers more entryways into infrastructure systems. Entities must implement strategies that minimise the probability and magnitude of impacts from extreme weather events and cyberattacks. To remain competitive in the face of increasing external competition, entities must improve the reliability, resilience and quality of their infrastructure.
More",Infrastructure,Electric Utilities & Power Generators
Ecological Impacts,Environmental Impacts of Project Development,"Infrastructure construction projects improve economic and social development; however, they also may pose risks to the local environment and surrounding communities. Industry activities can disrupt local ecosystems through biodiversity impacts, air
emissions, water discharges, natural resource consumption, waste generation and hazardous chemicals use. Construction entities perform clearing, grading and excavation activities and may generate harmful waste during project construction. Effectively assessing environmental impacts before construction may mitigate unforeseen issues that may increase operational expenses and capital costs. In some cases, environmental concerns or local community pushback may result in project delays and, in extreme cases, project cancellations, which may affect an entity’s profitability and growth opportunities. Failure to comply with environmental regulations during construction may result in costly fines and remediation costs, and it can damage an entity’s reputation. Environmental impact assessments can provide an understanding of a project’s potential environmental impacts and necessary mitigation activities before it begins. Likewise, proper management of environmental risks during project construction may reduce regulatory oversight or community pushback. By assessing environmental considerations before project initiation, as well as continuing to evaluate them during project development, engineering and construction entities may be prepared to mitigate potential environmental issues and the associated financial risks that may occur, while also establishing a competitive advantage for obtaining new contracts with prospective clients.
More",Infrastructure,Engineering & Construction Services
Product Quality & Safety,Structural Integrity & Safety,"Whether providing engineering, design, architectural, consulting, inspection, construction or maintenance services, entities in this industry have a professional responsibility to ensure the safety and integrity of their work. Errors or inadequate
quality in the project design phase and construction of buildings or infrastructure may result in significant personal injury, loss of property value and economic harm. Entities that manage structural integrity and safety poorly may incur incremental costs because of redesign or repair work and legal liabilities, as well as reputational damage that could hurt growth prospects. Moreover, when designing and constructing buildings or infrastructure, entities in the industry increasingly must contemplate potential climate change impacts, which may affect the project’s structural integrity and public safety. Compliance with minimum applicable codes and standards may not be enough to maintain and grow reputational value (or even mitigate legal liabilities) in some circumstances, especially if the frequency and severity of climate-change-related events increases as expected. Meeting or exceeding new industry quality standards, and setting up internal control procedures to identify and fix potential design issues, including those resulting from climate risks, are practices that may help entities reduce these risks.
More",Infrastructure,Engineering & Construction Services
Employee Health & Safety,Workforce Health & Safety,"Construction, maintenance and repair services and other on-site activities require substantial manual labour. Fatality and injury rates in the Engineering & Construction Services industry are high compared with those in other industries because of
the workforce’s exposure to powered haulage and heavy machinery accidents, fall accidents, exposure to hazardous chemicals, and other unique and potentially dangerous situations. Additionally, temporary workers may be at a higher risk because of a lack of training or industry experience. Failing to protect worker health and safety can result in fines and penalties; serious incidents may result in acute, one-time extraordinary expenses and contingent liabilities from legal or regulatory actions. In addition, health and safety incidents may result in project delays and downtime that increase project costs and decrease profitability. Entities that seek to train both permanent and temporary employees professionally and build a strong safety culture may reduce their risk profile while potentially gaining a competitive advantage in new project bids and proposals because of good workforce health and safety statistics.
More",Infrastructure,Engineering & Construction Services
